Region,Month,Slope,Intercept,Std Coef,Std Intercept,Slope in Original Units,Intercept in Original Units,Std Coef in Original Units,Std Intercept in Original Units,R-Value,P-Value
AK,Jan,0.11652127261027097,-6.102235074323154e-18,0.15510993686063232,0.15510993686063232,[1.91118005],[-16.01035034],[2.5441107],[36.60045234],0.11652127261027097,0.45681229401358714
AK,Feb,0.3213092182185312,1.5109678454462828e-15,0.1478925439080848,0.1478925439080848,[4.73025922],[-16.20603614],[2.17724867],[31.32264892],0.3213092182185312,0.035645642082712536
AK,Mar,0.0973477492977334,3.6248554991602227e-16,0.15543200346184363,0.15543200346184363,[1.07816209],[-9.29338813],[1.72146655],[24.76561038],0.09734774929773343,0.5345869333645916
AK,Apr,0.548931281239011,2.568458318395041e-15,0.1305405691988638,0.1305405691988638,[4.88213888],[-9.42037036],[1.16101452],[16.70275454],0.5489312812390111,0.00013805115233561093
AK,May,0.5264675639609003,2.3604096091064148e-15,0.13277818511107944,0.13277818511107944,[4.60915328],[-0.5634973],[1.1624553],[16.72348203],0.5264675639609004,0.00028739396835747737
AK,Jun,0.3782584274860267,9.950806860794898e-16,0.14457005745682006,0.14457005745682006,[1.91932005],[8.56827585],[0.73356253],[10.55328311],0.3782584274860267,0.012383790001922626
AK,Jul,0.1393520064961637,-1.9383568761161668e-15,0.15464996023952024,0.15464996023952024,[0.69837485],[13.98868176],[0.77504189],[11.15001939],0.13935200649616372,0.37280853128204006
AK,Aug,0.24182699237557634,3.5022127580027332e-15,0.15153842833553627,0.15153842833553627,[1.38093265],[10.21772129],[0.86534742],[12.44918581],0.24182699237557634,0.11821085761909045
AK,Sep,0.37275131658228794,1.568320113691237e-15,0.14491851840007358,0.14491851840007358,[2.69389517],[2.72434289],[1.04733445],[15.06731398],0.37275131658228794,0.013827774374554598
AK,Oct,0.6202734631684355,2.926433037141553e-15,0.1225004560358893,0.1225004560358893,[6.23725018],[-10.03340893],[1.23182118],[17.72140358],0.6202734631684357,9.143422926559674e-06
AK,Nov,0.30436069725185033,1.7260136044456986e-15,0.14876438778282658,0.14876438778282658,[3.81141393],[-14.33496736],[1.86292996],[26.80075162],0.3043606972518504,0.04721423799956081
AK,Dec,0.04170892857211106,7.475048635027272e-17,0.15603786010854173,0.15603786010854173,[0.49648841],[-13.4555885],[1.85741977],[26.72148023],0.04170892857211106,0.790578174301209
WY,Jan,0.38664854486126976,1.860545731146155e-15,0.14402768219327622,0.14402768219327622,[3.22740375],[-5.9261734],[1.20221707],[17.29550863],0.38664854486126987,0.01043166922067056
WY,Feb,0.04718744834923329,2.7433780417598133e-16,0.15599979242624468,0.15599979242624468,[0.42390705],[0.43029638],[1.40141954],[20.16130399],0.04718744834923329,0.7638123925664917
WY,Mar,0.12367223876489998,1.193087222407696e-15,0.15497483488546612,0.15497483488546612,[1.04771185],[4.68441751],[1.31289748],[18.88779512],0.12367223876490001,0.42945985962534117
WY,Apr,0.08097043457128918,4.227069016345048e-16,0.15566096591751596,0.15566096591751596,[0.84767282],[10.20713526],[1.62960185],[23.44401322],0.08097043457128918,0.6057414772550789
WY,May,-0.09697413036603778,-9.003576288226388e-16,0.15543769970240295,0.15543769970240295,[-0.91165032],[18.81394757],[1.46126423],[21.02225028],-0.0969741303660378,0.536163767971522
WY,Jun,0.2171571084028737,2.0781485169918424e-16,0.15244693521146416,0.15244693521146416,[2.28545467],[21.13641238],[1.60441702],[23.08169548],0.21715710840287375,0.16187601747377384
WY,Jul,0.53827826804443,-1.5249811189117107e-15,0.13161811964284864,0.13161811964284864,[4.53166109],[21.09516198],[1.10806761],[15.94104202],0.5382782680444302,0.00019672042019517995
WY,Aug,0.24813008336776707,7.33163326189932e-15,0.1512896964015262,0.1512896964015262,[1.56932416],[24.20961586],[0.9568472],[13.76553317],0.24813008336776712,0.10863580928734522
WY,Sep,0.5758496104477772,1.0829567065622737e-15,0.12768074000977012,0.12768074000977012,[4.81135742],[13.86397375],[1.06680228],[15.34738478],0.5758496104477773,5.337418311577377e-05
WY,Oct,0.14585167189575224,3.1056095544076897e-16,0.1545037129402471,0.1545037129402471,[1.39610541],[11.30405772],[1.47892353],[21.27630305],0.14585167189575227,0.3506990451488786
WY,Nov,0.4159099232936152,2.152357829454228e-15,0.14202532715611824,0.14202532715611824,[4.89371693],[-1.05789882],[1.67111124],[24.04118155],0.4159099232936152,0.005539981510109968
WY,Dec,0.24487028525470486,1.1888551044945418e-15,0.1514191842244632,0.1514191842244632,[2.21467032],[-4.17944944],[1.36947434],[19.7017293],0.24487028525470492,0.11351118564584918
ID,Jan,0.28711382717487216,1.240610340145552e-15,0.1495982954648065,0.1495982954648065,[2.39336292],[-5.14857973],[1.24704204],[17.94037606],0.2871138271748722,0.06193352809679815
ID,Feb,0.1133599742127932,5.961853059645758e-16,0.15516706309467293,0.15516706309467293,[1.0346579],[-0.54269607],[1.41623909],[20.37450312],0.11335997421279323,0.4691978887462642
ID,Mar,0.14365342568512093,9.715742612025143e-16,0.15455393669690357,0.15455393669690357,[1.36011382],[4.07081152],[1.46332011],[21.05182676],0.14365342568512093,0.358085332076841
