Region,Month,Slope,Intercept,R-Value,P-Value,Std Coef,Std Intercept
AK,Jan,0.11652127261027097,-6.102235074323154e-18,0.11652127261027097,0.45681229401358714,0.15510993686063232,0.15510993686063232
AK,Feb,0.3213092182185312,1.5109678454462828e-15,0.3213092182185312,0.035645642082712536,0.1478925439080848,0.1478925439080848
AK,Mar,0.0973477492977334,3.6248554991602227e-16,0.09734774929773343,0.5345869333645916,0.15543200346184363,0.15543200346184363
AK,Apr,0.548931281239011,2.568458318395041e-15,0.5489312812390111,0.00013805115233561093,0.1305405691988638,0.1305405691988638
AK,May,0.5264675639609003,2.3604096091064148e-15,0.5264675639609004,0.00028739396835747737,0.13277818511107944,0.13277818511107944
AK,Jun,0.3782584274860267,9.950806860794898e-16,0.3782584274860267,0.012383790001922626,0.14457005745682006,0.14457005745682006
AK,Jul,0.1393520064961637,-1.9383568761161668e-15,0.13935200649616372,0.37280853128204006,0.15464996023952024,0.15464996023952024
AK,Aug,0.24182699237557634,3.5022127580027332e-15,0.24182699237557634,0.11821085761909045,0.15153842833553627,0.15153842833553627
AK,Sep,0.37275131658228794,1.568320113691237e-15,0.37275131658228794,0.013827774374554598,0.14491851840007358,0.14491851840007358
AK,Oct,0.6202734631684355,2.926433037141553e-15,0.6202734631684357,9.143422926559674e-06,0.1225004560358893,0.1225004560358893
AK,Nov,0.30436069725185033,1.7260136044456986e-15,0.3043606972518504,0.04721423799956081,0.14876438778282658,0.14876438778282658
AK,Dec,0.04170892857211106,7.475048635027272e-17,0.04170892857211106,0.790578174301209,0.15603786010854173,0.15603786010854173
WY,Jan,0.38664854486126976,1.860545731146155e-15,0.38664854486126987,0.01043166922067056,0.14402768219327622,0.14402768219327622
WY,Feb,0.04718744834923329,2.7433780417598133e-16,0.04718744834923329,0.7638123925664917,0.15599979242624468,0.15599979242624468
WY,Mar,0.12367223876489998,1.193087222407696e-15,0.12367223876490001,0.42945985962534117,0.15497483488546612,0.15497483488546612
WY,Apr,0.08097043457128918,4.227069016345048e-16,0.08097043457128918,0.6057414772550789,0.15566096591751596,0.15566096591751596
WY,May,-0.09697413036603778,-9.003576288226388e-16,-0.0969741303660378,0.536163767971522,0.15543769970240295,0.15543769970240295
WY,Jun,0.2171571084028737,2.0781485169918424e-16,0.21715710840287375,0.16187601747377384,0.15244693521146416,0.15244693521146416
WY,Jul,0.53827826804443,-1.5249811189117107e-15,0.5382782680444302,0.00019672042019517995,0.13161811964284864,0.13161811964284864
WY,Aug,0.24813008336776707,7.33163326189932e-15,0.24813008336776712,0.10863580928734522,0.1512896964015262,0.1512896964015262
WY,Sep,0.5758496104477772,1.0829567065622737e-15,0.5758496104477773,5.337418311577377e-05,0.12768074000977012,0.12768074000977012
WY,Oct,0.14585167189575224,3.1056095544076897e-16,0.14585167189575227,0.3506990451488786,0.1545037129402471,0.1545037129402471
WY,Nov,0.4159099232936152,2.152357829454228e-15,0.4159099232936152,0.005539981510109968,0.14202532715611824,0.14202532715611824
WY,Dec,0.24487028525470486,1.1888551044945418e-15,0.24487028525470492,0.11351118564584918,0.1514191842244632,0.1514191842244632
ID,Jan,0.28711382717487216,1.240610340145552e-15,0.2871138271748722,0.06193352809679815,0.1495982954648065,0.1495982954648065
ID,Feb,0.1133599742127932,5.961853059645758e-16,0.11335997421279323,0.4691978887462642,0.15516706309467293,0.15516706309467293
ID,Mar,0.14365342568512093,9.715742612025143e-16,0.14365342568512093,0.358085332076841,0.15455393669690357,0.15455393669690357
ID,Apr,0.07543788552583067,1.6186909325274756e-16,0.07543788552583068,0.6306667355639255,0.15572874520651256,0.15572874520651256
ID,May,-0.005455579382457987,2.3266786471363603e-16,-0.005455579382457987,0.9723024738577468,0.15617143774442566,0.15617143774442566
ID,Jun,0.13232803045184954,2.8182467000596794e-16,0.1323280304518496,0.3976128332775375,0.15480036651156692,0.15480036651156692
