Region,Month,Dataset,Slope,Slope_SE,Slope_p
AK,Apr,era5,4.486017349339112,1.2339013218861952,0.004725119183297988
AK,Apr,merra2,4.882138875044005,1.1610145193723258,0.0008265506322524541
AK,Aug,era5,1.268655671444966,0.7469327684606311,0.7190875582909735
AK,Aug,merra2,1.3809326464918257,0.8653474156499452,0.6597866407279642
AK,Dec,era5,1.6540081520639542,1.7080951652170093,0.701803238799336
AK,Dec,merra2,0.49648840690211055,1.8574197715907177,0.7863285754451692
AK,Feb,era5,3.6163542036423846,1.9577073996355652,0.1814062125557916
AK,Feb,merra2,4.730259220062811,2.177248674278512,0.086659130333961
AK,Jan,era5,1.7350655860467952,2.264376398597,0.745467445157546
AK,Jan,merra2,1.9111800485813577,2.5441107020541076,0.7202290624899874
AK,Jul,era5,0.8371395932337035,0.687445495205004,0.8127292137678914
AK,Jul,merra2,0.6983748458984299,0.7750418875629644,0.6971483873401638
AK,Jun,era5,1.9662955750492983,0.620825171873443,0.11959644001222824
AK,Jun,merra2,1.9193200507447938,0.7335625325213719,0.21012326581534713
AK,Mar,era5,1.3239752325851122,1.5984590075775709,0.8393853711250376
AK,Mar,merra2,1.0781620926978606,1.7214665499055801,0.9637850031392763
AK,May,era5,4.20692023106687,0.9715185246324474,0.0009636294651682586
AK,May,merra2,4.609153279914914,1.1624552950641664,0.0019042872515180331
AK,Nov,era5,4.075707464677238,1.5709410683410274,0.05024459089320943
AK,Nov,merra2,3.811413931215679,1.862929955095541,0.13126413141401616
AK,Oct,era5,6.4303496763425425,1.1190618024600631,1.2185859297186852e-06
AK,Oct,merra2,6.237250180181459,1.2318211834812596,2.122185088260231e-05
AK,Sep,era5,2.8183065661413087,0.9297231747037257,0.05049455230330069
AK,Sep,merra2,2.693895167451266,1.047334453360603,0.10580506134676115
AL,Apr,era5,1.4365537144488956,0.7635351120264794,0.5674891243023226
AL,Apr,merra2,2.0108760116181954,1.0314792435659665,0.32707350750445374
AL,Aug,era5,0.7179715757403806,0.7481109322046081,0.7061829398158075
AL,Aug,merra2,1.0494010260747373,1.0682505918032532,0.9631151420478035
AL,Dec,era5,2.496912396750084,1.295086666396998,0.2477467901964885
AL,Dec,merra2,3.119962125932909,1.6705714548063655,0.20443958030956377
AL,Feb,era5,1.5755687209775764,1.1645610901129073,0.6211390899730036
AL,Feb,merra2,2.272588603009389,1.4823030983648169,0.3906047411332443
AL,Jan,era5,1.9895072903682298,1.2014404133184384,0.4101664189886556
AL,Jan,merra2,3.0058969499561408,1.4680592515715842,0.17182610167725132
AL,Jul,era5,0.3961535403764419,0.6772336052366366,0.3725875951513742
AL,Jul,merra2,0.7680442031602615,1.0417285409205763,0.8237967580392775
AL,Jun,era5,1.0063456502590868,0.7789642275276634,0.9935002915507931
AL,Jun,merra2,0.49082466050844886,1.1163403258796758,0.6483100077644401
AL,Mar,era5,1.7284551961492352,1.0720426004494834,0.49681977875500793
