Year,Month,Average_Temperature,Dataset,Global_Temp,Region
1980,Jan,-21.505592376377894,era5,14.081005464480874,AK
1980,Jan,-20.644041253149798,merra2,14.299730957355443,AK
1981,Jan,-9.029640215536917,era5,14.117616438356166,AK
1981,Jan,-8.971534722340683,merra2,14.296990028690264,AK
1982,Jan,-21.823795693114615,era5,13.919350684931507,AK
1982,Jan,-20.593576921130712,merra2,14.010672395662342,AK
1983,Jan,-21.536286409733563,era5,14.112216438356164,AK
1983,Jan,-20.66034659672909,merra2,14.225020841353022,AK
1984,Jan,-19.207458417719817,era5,13.896994535519125,AK
1984,Jan,-18.17463263765059,merra2,14.043596247128804,AK
1985,Jan,-10.169686583830119,era5,13.860912328767125,AK
1985,Jan,-9.816686691525286,merra2,13.983983169934186,AK
1986,Jan,-18.06816199810951,era5,13.948087671232877,AK
1986,Jan,-17.5185708149694,merra2,14.070703745238596,AK
1987,Jan,-16.555116177993636,era5,14.103098630136987,AK
1987,Jan,-15.897462169893302,merra2,14.201963471373444,AK
1988,Jan,-16.05143576181785,era5,14.130606557377048,AK
1988,Jan,-14.909301379477347,merra2,14.293686397951754,AK
1989,Jan,-26.5936502646365,era5,14.015531506849316,AK
1989,Jan,-25.641043811590887,merra2,14.15040022877588,AK
1990,Jan,-21.873187697680336,era5,14.248380821917808,AK
1990,Jan,-20.56515658825364,merra2,14.3480086891158,AK
1991,Jan,-17.70729668246175,era5,14.192295890410959,AK
1991,Jan,-17.42752879153125,merra2,14.31000400396978,AK
1992,Jan,-17.77308145837238,era5,13.954756830601092,AK
1992,Jan,-17.151048616022674,merra2,14.070189518651206,AK
1993,Jan,-18.579401499894935,era5,14.004506849315069,AK
1993,Jan,-18.1875560457278,merra2,14.098399911422591,AK
1994,Jan,-17.262061724138672,era5,14.04268493150685,AK
1994,Jan,-17.191533977909053,merra2,14.162099696352785,AK
1995,Jan,-17.565565748407977,era5,14.216372602739725,AK
1995,Jan,-16.1366930760801,merra2,14.332907046434332,AK
1996,Jan,-20.89803391364309,era5,14.084756830601092,AK
1996,Jan,-19.70954569289254,merra2,14.175889901210118,AK
1997,Jan,-20.724048348583864,era5,14.211783561643836,AK
1997,Jan,-19.186590579962832,merra2,14.311172158284473,AK
1998,Jan,-20.748597812581764,era5,14.39835616438356,AK
1998,Jan,-19.68723751876623,merra2,14.517857098502596,AK
