Year,Month,Average
1980,Jan,12.359628971555031
1980,Feb,12.697038378523612
1980,Mar,13.313299861497137
1980,Apr,14.312620395970056
1980,May,15.323189602677989
1980,Jun,15.847801358992237
1980,Jul,16.215996225946746
1980,Aug,16.03210854100341
1980,Sep,15.33673148993904
1980,Oct,14.276019221445857
1980,Nov,13.313880825190706
1980,Dec,12.517060650459186
1981,Jan,12.517246453598506
1981,Feb,12.737522551911104
1981,Mar,13.49545581700299
1981,Apr,14.311052189577003
1981,May,15.1011565576727
1981,Jun,15.812996336601243
1981,Jul,16.0768342641625
1981,Aug,16.046675159473953
1981,Sep,15.329114069837141
1981,Oct,14.236000134257722
1981,Nov,13.142457232589326
1981,Dec,12.651861748034683
1982,Jan,12.011132605220393
1982,Feb,12.356525209426739
1982,Mar,12.844751487173363
1982,Apr,13.870151804646357
1982,May,14.91592959635503
1982,Jun,15.552489257061266
1982,Jul,15.917029505865626
1982,Aug,15.69824808808324
1982,Sep,15.096914389588333
1982,Oct,14.101368155452578
1982,Nov,13.05839604745283
1982,Dec,12.594578419602728
1983,Jan,12.440440387102269
1983,Feb,12.654336525046897
1983,Mar,13.28469454272233
1983,Apr,14.117480885879704
1983,May,15.174800901132656
1983,Jun,15.78637335264131
1983,Jul,15.995117197419582
1983,Aug,15.968056250842396
1983,Sep,15.383408217738817
1983,Oct,14.140776374637367
1983,Nov,13.23644810984597
1983,Dec,12.418690714187456
1984,Jan,12.210295547714987
1984,Feb,12.347235809886044
1984,Mar,13.147591703146166
1984,Apr,13.9924698524231
1984,May,15.151771577259426
1984,Jun,15.590057898061094
1984,Jul,15.838397801170565
1984,Aug,15.81036152809739
1984,Sep,15.13300226244413
1984,Oct,14.11344698764644
1984,Nov,12.965720546664205
1984,Dec,12.161969408986673
1985,Jan,12.19165686296926
1985,Feb,12.13844927965325
1985,Mar,13.030568151961216
1985,Apr,13.936815197773049
1985,May,14.87723907753309
1985,Jun,15.60017680922758
1985,Jul,15.769549628014275
1985,Aug,15.788209038530503
1985,Sep,15.03883991763498
1985,Oct,13.991255025688538
1985,Nov,12.97547087463093
1985,Dec,12.343076835228622
1986,Jan,12.175565364110321
1986,Feb,12.488063120050922
1986,Mar,13.127441024850949
1986,Apr,14.105984537742499
1986,May,15.013977410440445
1986,Jun,15.64635122819723
1986,Jul,15.895563165201468
1986,Aug,15.753169359769583
1986,Sep,15.029770348962224
1986,Oct,14.058550124114621
1986,Nov,13.084300079879549
1986,Dec,12.367633996906696
1987,Jan,12.2455080557046
1987,Feb,12.603460119389325
1987,Mar,13.045085007156544
1987,Apr,14.082430804499857
1987,May,15.046868655476267
1987,Jun,15.796031885378941
1987,Jul,16.190195668045757
1987,Aug,15.900892732800772
1987,Sep,15.298348369541404
1987,Oct,14.249102658992813
1987,Nov,13.151456380480877
1987,Dec,12.708533044770787
1988,Jan,12.551471829470165
1988,Feb,12.615340395685646
1988,Mar,13.358450972149985
1988,Apr,14.283473818851654
1988,May,15.242729633257333
1988,Jun,15.935550684572991
1988,Jul,16.139980025563283
1988,Aug,16.013561698804413
1988,Sep,15.401553486569712
1988,Oct,14.342025372298586
1988,Nov,13.066719583260555
1988,Dec,12.51389088709529
1989,Jan,12.07602988430999
1989,Feb,12.568349823124937
1989,Mar,13.179120348351884
1989,Apr,14.150439809874735
1989,May,14.967752667179552
1989,Jun,15.630598202716047
1989,Jul,16.039679327765647
1989,Aug,15.863662152225556
1989,Sep,15.248435355513625
1989,Oct,14.240677587098954
1989,Nov,13.09135349624127
1989,Dec,12.644609727433828
1990,Jan,12.41436573489566
1990,Feb,12.62100858455087
1990,Mar,13.613938990295804
1990,Apr,14.391140063337003
1990,May,15.313007459141096
1990,Jun,15.859999697575473
1990,Jul,16.21781121169355
1990,Aug,15.971235545098263
1990,Sep,15.249565797752377
1990,Oct,14.406604313352435
1990,Nov,13.359905994269013
1990,Dec,12.637765280098266
1991,Jan,12.407786804129204
1991,Feb,12.72443423018741
1991,Mar,13.267481353601854
1991,Apr,14.345029704094184
1991,May,15.206191603335073
1991,Jun,16.03539456521269
1991,Jul,16.239671016281285
1991,Aug,16.063147469480683
1991,Sep,15.321472726103337
1991,Oct,14.280179474850522
1991,Nov,13.190738495748537
1991,Dec,12.538388674094278
1992,Jan,12.416935026055102
1992,Feb,12.639297611154031
1992,Mar,13.29374750803594
1992,Apr,14.048419168955139
1992,May,15.018762282128813
1992,Jun,15.68249949683759
1992,Jul,15.827093312182404
1992,Aug,15.640802093282808
1992,Sep,14.889755549409927
1992,Oct,13.995267540273286
1992,Nov,12.931075883604107
1992,Dec,12.40730288767623
1993,Jan,12.294425605725298
1993,Feb,12.567419269163027
1993,Mar,13.137475900700963
1993,Apr,14.107608678586585
1993,May,14.993968752529907
1993,Jun,15.670482738555268
1993,Jul,15.904219623682014
1993,Aug,15.780205455591588
1993,Sep,15.035286721217888
1993,Oct,14.165624044125797
1993,Nov,12.97744864622518
1993,Dec,12.443545927164879
1994,Jan,12.182186884967011
1994,Feb,12.198836307210694
