Year,Average
1980,14.299730957355445
1981,14.296990028690265
1982,14.010672395662342
1983,14.225020841353022
1984,14.043596247128804
1985,13.983983169934186
1986,14.070703745238596
1987,14.201963471373444
1988,14.293686397951754
1989,14.150400228775881
1990,14.348008689115801
1991,14.31000400396978
1992,14.070189518651206
1993,14.098399911422591
1994,14.162099696352785
1995,14.332907046434332
1996,14.175889901210118
1997,14.311172158284473
1998,14.517857098502596
1999,14.270990506407186
2000,14.273807256200836
2001,14.459668837489069
2002,14.568268640983542
2003,14.58308544839057
2004,14.478478870442625
2005,14.663594068384826
2006,14.508014341386511
2007,14.505719825344613
2008,14.364974754123654
2009,14.451228282689701
2010,14.46147636301327
2011,14.356479019141398
2012,14.398072706162427
2013,14.403480362899733
2014,14.454155426348894
2015,14.59372951735238
2016,14.779528405226538
2017,14.695678066599953
2018,14.600690780154968
2019,14.762257884464791
2020,14.728122034238678
2021,14.618975756365025
2022,14.66191496125773
