region,month,avg_potential_height
AK,Jan,5232.035134654582
AK,Feb,5257.075046010338
AK,Mar,5264.4817615183765
AK,Apr,5327.314770041251
AK,May,5453.284607979723
AK,Jun,5556.0068396199185
AK,Jul,5620.76130635517
AK,Aug,5579.791182987019
AK,Sep,5461.665812440786
AK,Oct,5340.1612028750915
AK,Nov,5259.6652547897265
AK,Dec,5235.687687856367
WY,Jan,5560.049383464196
WY,Feb,5538.932408098486
WY,Mar,5571.079863535525
WY,Apr,5611.115265898083
WY,May,5689.802651773078
WY,Jun,5786.173121450049
WY,Jul,5872.016784482813
WY,Aug,5862.6790449530445
WY,Sep,5793.710431590561
WY,Oct,5699.416156342236
WY,Nov,5612.147407266466
WY,Dec,5554.918421854213
ID,Jan,5574.25569376785
ID,Feb,5547.249568651757
ID,Mar,5562.288651865547
ID,Apr,5597.266732347575
ID,May,5666.527301812335
ID,Jun,5749.765559541081
ID,Jul,5841.736594155915
ID,Aug,5835.2052976263985
ID,Sep,5774.8004643754275
ID,Oct,5695.3936723420975
ID,Nov,5608.538277523268
ID,Dec,5562.807531924493
MI,Jan,5388.405008046682
MI,Feb,5399.296914892499
MI,Mar,5471.112365341525
MI,Apr,5544.415696248293
MI,May,5659.08934923213
MI,Jun,5746.4646833874785
MI,Jul,5799.754784423847
MI,Aug,5799.020446352484
MI,Sep,5745.558870238842
MI,Oct,5628.305854321694
MI,Nov,5523.818775398506
MI,Dec,5435.87086136059
PR,Jan,5863.2121893388385
PR,Feb,5859.516770552019
PR,Mar,5857.506026592097
PR,Apr,5858.879900413336
PR,May,5871.8478555185675
PR,Jun,5888.627747055172
PR,Jul,5893.03817037023
PR,Aug,5889.956487473919
PR,Sep,5878.531626430778
PR,Oct,5869.632922940208
PR,Nov,5862.754760552931
PR,Dec,5864.304808379829
RI,Jan,5454.129347644528
RI,Feb,5460.790343283822
RI,Mar,5501.445883565618
RI,Apr,5574.281990749152
RI,May,5682.102798770982
RI,Jun,5762.386539713541
RI,Jul,5817.540955185085
RI,Aug,5821.75941727131
RI,Sep,5793.3656810198645
RI,Oct,5693.941521268989
RI,Nov,5603.280850290697
RI,Dec,5516.249841391012
OR,Jan,5590.485276234082
OR,Feb,5562.16462158929
OR,Mar,5564.003947324477
OR,Apr,5596.160045876463
OR,May,5660.395151146442
OR,Jun,5734.459837175076
OR,Jul,5823.656066728122
OR,Aug,5819.445606365365
OR,Sep,5773.382416671921
OR,Oct,5707.404578037445
OR,Nov,5619.821201364309
OR,Dec,5581.440274727144
GA,Jan,5693.143186043638
GA,Feb,5696.882623264495
GA,Mar,5712.539117709156
GA,Apr,5746.12714766201
GA,May,5808.256560907795
GA,Jun,5864.978700661171
GA,Jul,5900.138329844166
GA,Aug,5896.069280400027
GA,Sep,5869.437189548612
GA,Oct,5821.787728050137
GA,Nov,5776.129025308958
GA,Dec,5735.102314133474
IL,Jan,5511.054361791145
IL,Feb,5518.509690222472
IL,Mar,5570.41226894886
IL,Apr,5624.665843421207
IL,May,5724.1247889138385
IL,Jun,5812.899796203976
IL,Jul,5865.636747524354
IL,Aug,5860.760398706269
IL,Sep,5813.025583066727
IL,Oct,5714.582825796131
IL,Nov,5624.225953809803
IL,Dec,5549.622127088876
MT,Jan,5505.637030751674
MT,Feb,5485.626026738688
MT,Mar,5518.8186595477655
MT,Apr,5565.554994144521
MT,May,5646.116867129566
MT,Jun,5726.957027807245
MT,Jul,5815.393727407165
MT,Aug,5810.094499817141
MT,Sep,5741.046725787668
MT,Oct,5646.57213928069
MT,Nov,5551.558869670542
MT,Dec,5496.786825479223
LA,Jan,5718.038880266051
LA,Feb,5719.183290060459
LA,Mar,5735.173597752497
LA,Apr,5770.691542401805
LA,May,5823.7853609557305
LA,Jun,5874.7521340216335
LA,Jul,5906.820407746105
LA,Aug,5903.453229295538
LA,Sep,5876.433036756907
LA,Oct,5834.560258752804
LA,Nov,5788.287633826447
LA,Dec,5748.811379626273
MA,Jan,5426.427347065699
MA,Feb,5434.581604552189
MA,Mar,5480.982407369538
MA,Apr,5557.654660784655
MA,May,5668.889245895291
MA,Jun,5749.477817066268
MA,Jul,5804.2255728964865
MA,Aug,5809.354155653549
MA,Sep,5779.047608123668
MA,Oct,5675.1563476227875
MA,Nov,5580.012847476527
MA,Dec,5489.232376815318
NE,Jan,5533.72990685851
NE,Feb,5525.298808952301
NE,Mar,5570.002248723104
NE,Apr,5616.2864294006595
NE,May,5708.467721423462
NE,Jun,5808.510127141394
NE,Jul,5879.249441964569
NE,Aug,5870.668263245949
NE,Sep,5807.868024164042
NE,Oct,5703.007126393709
NE,Nov,5611.0294274875905
NE,Dec,5543.857102442435
DE,Jan,5524.490611999661
DE,Feb,5531.625617059486
DE,Mar,5567.294120245917
DE,Apr,5627.086979044307
DE,May,5724.193310540663
DE,Jun,5803.228398571783
DE,Jul,5852.519800722277
DE,Aug,5851.6798570099545
DE,Sep,5822.468688284113
DE,Oct,5734.648903409418
DE,Nov,5656.790358360759
DE,Dec,5583.625447760359
NY,Jan,5407.854756933242
NY,Feb,5418.348489806734
NY,Mar,5474.508695292285
NY,Apr,5551.941081571505
NY,May,5665.354322649883
NY,Jun,5746.9103038287285
NY,Jul,5798.825816686435
NY,Aug,5802.635755547469
NY,Sep,5767.011036916129
NY,Oct,5658.655958601738
NY,Nov,5560.252540689293
NY,Dec,5469.4713959334495
IN,Jan,5503.741007969113
IN,Feb,5513.211221871301
IN,Mar,5565.349898439689
IN,Apr,5621.928744630246
IN,May,5722.379972438143
IN,Jun,5808.587026702556
IN,Jul,5858.989881259579
IN,Aug,5854.889450589136
IN,Sep,5811.022308139818
IN,Oct,5714.180820405234
IN,Nov,5625.745738495261
IN,Dec,5549.348881012885
UT,Jan,5629.454646896966
UT,Feb,5604.532043327001
UT,Mar,5620.553803501804
UT,Apr,5652.5539275592855
UT,May,5719.457687493719
UT,Jun,5818.331246855179
UT,Jul,5898.194576675224
UT,Aug,5888.546991441631
UT,Sep,5827.22785794738
UT,Oct,5747.661052536806
UT,Nov,5675.387932372169
UT,Dec,5624.738303821511
SC,Jan,5662.303860353554
SC,Feb,5667.198229371664
SC,Mar,5685.352875438478
SC,Apr,5722.954378043268
SC,May,5793.533781663218
SC,Jun,5856.229946183491
SC,Jul,5894.77155217243
SC,Aug,5890.641710023513
SC,Sep,5863.372170353399
SC,Oct,5807.830246189627
SC,Nov,5756.590878009132
SC,Dec,5709.728699276354
NM,Jan,5673.966992891346
NM,Feb,5661.80355438875
NM,Mar,5677.807247690825
NM,Apr,5715.928942095712
NM,May,5783.5378374186685
NM,Jun,5872.171051762472
NM,Jul,5918.108502917873
NM,Aug,5912.208594311302
NM,Sep,5870.348280575848
NM,Oct,5799.231652437152
NM,Nov,5733.794468829336
NM,Dec,5681.77589666258
CO,Jan,5610.479112045468
CO,Feb,5592.944179369623
CO,Mar,5619.262573806647
CO,Apr,5657.406916386483
CO,May,5735.333262756907
CO,Jun,5836.55524558604
CO,Jul,5906.165009905281
CO,Aug,5897.001797971165
CO,Sep,5838.374976079083
CO,Oct,5748.329744703327
CO,Nov,5668.9210994007635
CO,Dec,5611.915064739661
ND,Jan,5425.101027617526
ND,Feb,5419.124438860916
ND,Mar,5481.301992476575
ND,Apr,5543.00943492016
ND,May,5639.835368869083
ND,Jun,5727.56432669633
ND,Jul,5804.756668988919
ND,Aug,5799.047721453436
ND,Sep,5723.079329969411
ND,Oct,5608.333257502224
ND,Nov,5506.701638540321
ND,Dec,5433.773573876698
MN,Jan,5395.003728351863
MN,Feb,5397.707272894154
MN,Mar,5469.751721365058
MN,Apr,5537.617550328872
MN,May,5645.675737455844
MN,Jun,5736.140960086699
MN,Jul,5801.87758477006
MN,Aug,5797.639233614172
MN,Sep,5727.480251211503
MN,Oct,5606.274638448848
MN,Nov,5500.665307348913
MN,Dec,5419.710924504178
KY,Jan,5564.568889432248
KY,Feb,5572.866682063672
