region,month,avg_qv2m
AK,Jan,0.0012651366017089154
AK,Feb,0.0013831913923018563
AK,Mar,0.0015776404943246172
AK,Apr,0.0025180224514385406
AK,May,0.004186800639693905
AK,Jun,0.006221688908004235
AK,Jul,0.00732721390397903
AK,Aug,0.006603843710109636
AK,Sep,0.004857999476606991
AK,Oct,0.0028523404509263445
AK,Nov,0.001630703115841308
AK,Dec,0.0013629554887674069
WY,Jan,0.0022511729978552416
WY,Feb,0.0023500875623718915
WY,Mar,0.0029139618092991174
WY,Apr,0.0035694086221788653
WY,May,0.004953023039422558
WY,Jun,0.006245030772907967
WY,Jul,0.007425889385842467
WY,Aug,0.006837389875022177
WY,Sep,0.005162534865182004
WY,Oct,0.0038325436171337793
WY,Nov,0.0028263727148062873
WY,Dec,0.0022343489791679994
ID,Jan,0.002615164229662695
ID,Feb,0.0028270211762512674
ID,Mar,0.0034102793755683286
ID,Apr,0.004016198635270999
ID,May,0.005249255619894781
ID,Jun,0.006373851827099938
ID,Jul,0.007061475975867945
ID,Aug,0.006300759325226657
ID,Sep,0.004954438278575964
ID,Oct,0.003970485313666524
ID,Nov,0.0032305200686613533
ID,Dec,0.0025734842036176445
MI,Jan,0.002193644240856179
MI,Feb,0.0023050001286443605
MI,Mar,0.0031526317202351904
MI,Apr,0.004546805525187172
MI,May,0.006903746333533746
MI,Jun,0.00958593619901728
MI,Jul,0.011344387721453781
MI,Aug,0.011071942300857255
MI,Sep,0.008726768218934438
MI,Oct,0.005859027995711628
MI,Nov,0.003940293945080269
MI,Dec,0.0027224352769327806
PR,Jan,0.014669591856495787
PR,Feb,0.014242300111033912
PR,Mar,0.014209151039541394
PR,Apr,0.0150318284223015
PR,May,0.01643627178935587
PR,Jun,0.017279121026671094
PR,Jul,0.017523916254123282
PR,Aug,0.01781603350287998
PR,Sep,0.017878719602617645
PR,Oct,0.017590828844264363
PR,Nov,0.016796041777458533
PR,Dec,0.01552705928461105
RI,Jan,0.003250912206428404
RI,Feb,0.003268877284768049
RI,Mar,0.0038800606646785334
RI,Apr,0.005273839925567425
RI,May,0.0074698119826016795
RI,Jun,0.010365637482050084
RI,Jul,0.012748172479092695
RI,Aug,0.012567959113475509
RI,Sep,0.01029651579050015
RI,Oct,0.007500112800986771
RI,Nov,0.0054834281777522646
RI,Dec,0.004031356067598615
OR,Jan,0.0037299421014331145
OR,Feb,0.0038179871041859642
OR,Mar,0.00417178975022907
OR,Apr,0.004676239995136696
OR,May,0.005798669358139484
OR,Jun,0.006835213420259965
OR,Jul,0.007604471261199897
OR,Aug,0.007155493236975764
OR,Sep,0.005957510065718188
OR,Oct,0.005014360225754532
OR,Nov,0.004291631772777855
OR,Dec,0.0036508741989234213
GA,Jan,0.005604495130593469
GA,Feb,0.006381635480014303
GA,Mar,0.007811853150154351
GA,Apr,0.00935401363843568
GA,May,0.011676398927156575
GA,Jun,0.014470010823529415
GA,Jul,0.015784575666508222
GA,Aug,0.01564044040388657
GA,Sep,0.013340424997190788
GA,Oct,0.009790305184805158
GA,Nov,0.0073692725678275416
GA,Dec,0.006219101594863772
IL,Jan,0.00269822939605494
IL,Feb,0.0031221335179114325
IL,Mar,0.0045697560805384885
IL,Apr,0.006594047805146933
IL,May,0.009692611748605057
IL,Jun,0.012919742621136663
IL,Jul,0.014267722758333275
IL,Aug,0.012990903137161666
IL,Sep,0.009964430558730022
IL,Oct,0.006687578792379117
IL,Nov,0.004592782881322572
IL,Dec,0.003241852515107856
MT,Jan,0.002370509582733611
MT,Feb,0.002440320487469897
MT,Mar,0.0030525962353637084
MT,Apr,0.003789440875720908
MT,May,0.005292689916883108
MT,Jun,0.007035300060057846
MT,Jul,0.00805173331354298
MT,Aug,0.007328615446829625
MT,Sep,0.005505188670920207
MT,Oct,0.004140305632125334
MT,Nov,0.003056778421061834
MT,Dec,0.002325452721334631
LA,Jan,0.00635834546303254
LA,Feb,0.0072298309646524365
LA,Mar,0.008951395721002457
LA,Apr,0.010874017624559326
LA,May,0.01371249820168644
LA,Jun,0.016167005998114044
LA,Jul,0.01710079682489411
LA,Aug,0.016716813484710012
LA,Sep,0.014504727493447606
LA,Oct,0.010930685085839685
LA,Nov,0.00847538774027048
LA,Dec,0.007082529093219618
MA,Jan,0.0026350252969529996
MA,Feb,0.002786902323281839
MA,Mar,0.003548917801474586
MA,Apr,0.005063252952795013
MA,May,0.007490479183461876
MA,Jun,0.010271809223786873
MA,Jul,0.01205809633789907
MA,Aug,0.011457952235513434
MA,Sep,0.00916140530907369
MA,Oct,0.0064710311952852735
MA,Nov,0.004623136502147668
MA,Dec,0.0032816614345398025
NE,Jan,0.0023543370094185143
NE,Feb,0.002498849211549123
NE,Mar,0.003366315116602854
NE,Apr,0.004606452723919883
NE,May,0.007172628505877326
NE,Jun,0.010199389352878728
NE,Jul,0.011676862518291427
NE,Aug,0.010980702079570224
