Geo Filename,Stem,Region Name,Type
arkansaswhiteredregion.geojson,arkansaswhiteredregion,Arkansas-White,River Basin
ohioregion.geojson,ohioregion,Ohio,River Basin
californiaregion.geojson,californiaregion,California,River Basin
greatbasinregion.geojson,greatbasinregion,Great Basin,River Basin
greatlakesregion.geojson,greatlakesregion,Great Lakes,River Basin
lowercoloradoregion.geojson,lowercoloradoregion,Lower Colorado,River Basin
lowermississippiregion.geojson,lowermississippiregion,Lower Mississippi,River Basin
midatlanticregion.geojson,midatlanticregion,Mid Atlantic,River Basin
missouriregion.geojson,missouriregion,Missouri,River Basin
newenglandregion.geojson,newenglandregion,New England,River Basin
pacificnorthwestregion.geojson,pacificnorthwestregion,Pacific Northwest,River Basin
riogranderegion.geojson,riogranderegion,Rio Grande,River Basin
sourisredrainyregion.geojson,sourisredrainyregion,Souris-Red-Rainy,River Basin
southatlanticgulfregion.geojson,southatlanticgulfregion,South Atlantic,River Basin
tennesseeregion.geojson,tennesseeregion,Tennessee,River Basin
texasgulfregion.geojson,texasgulfregion,Texas Gullf,River Basin
uppercoloradoregion.geojson,uppercoloradoregion,Upper Colorado,River Basin
uppermississippiregion.geojson,uppermississippiregion,Upper Mississippi,River Basin
afghanistan.geojson,afghanistan,Afghanistan,Country
albania.geojson,albania,Albania,Country
algeria.geojson,algeria,Algeria,Country
angola.geojson,angola,Angola,Country
antarctica.geojson,antarctica,Antarctica,Country
argentina.geojson,argentina,Argentina,Country
armenia.geojson,armenia,Armenia,Country
australia.geojson,australia,Australia,Country
austria.geojson,austria,Austria,Country
azerbaijan.geojson,azerbaijan,Azerbaijan,Country
bangladesh.geojson,bangladesh,Bangladesh,Country
belarus.geojson,belarus,Belarus,Country
belgium.geojson,belgium,Belgium,Country
belize.geojson,belize,Belize,Country
benin.geojson,benin,Benin,Country
bhutan.geojson,bhutan,Bhutan,Country
bolivia.geojson,bolivia,Bolivia,Country
bosniaandherzegovina.geojson,bosniaandherzegovina,Bosnia and Herzegovina,Country
botswana.geojson,botswana,Botswana,Country
brazil.geojson,brazil,Brazil,Country
brunei.geojson,brunei,Brunei,Country
bulgaria.geojson,bulgaria,Bulgaria,Country
burkinafaso.geojson,burkinafaso,Burkina Faso,Country
burundi.geojson,burundi,Burundi,Country
cambodia.geojson,cambodia,Cambodia,Country
cameroon.geojson,cameroon,Cameroon,Country
canada.geojson,canada,Canada,Country
centralafricanrepublic.geojson,centralafricanrepublic,Central African Republic,Country
chad.geojson,chad,Chad,Country
chile.geojson,chile,Chile,Country
china.geojson,china,China,Country
colombia.geojson,colombia,Colombia,Country
costarica.geojson,costarica,Costa Rica,Country
croatia.geojson,croatia,Croatia,Country
cuba.geojson,cuba,Cuba,Country
cyprus.geojson,cyprus,Cyprus,Country
czechia.geojson,czechia,Czechia,Country
democraticrepublicofthecongo.geojson,democraticrepublicofthecongo,Democratic Republic of the Congo,Country
denmark.geojson,denmark,Denmark,Country
djibouti.geojson,djibouti,Djibouti,Country
dominicanrepublic.geojson,dominicanrepublic,Dominican Republic,Country
easttimor.geojson,easttimor,East Timor,Country
ecuador.geojson,ecuador,Ecuador,Country
egypt.geojson,egypt,Egypt,Country
elsalvador.geojson,elsalvador,El Salvador,Country
equatorialguinea.geojson,equatorialguinea,Equatorial Guinea,Country
eritrea.geojson,eritrea,Eritrea,Country
estonia.geojson,estonia,Estonia,Country
eswatini.geojson,eswatini,eSwatini,Country
ethiopia.geojson,ethiopia,Ethiopia,Country
falklandislands.geojson,falklandislands,Falkland Islands,Country
fiji.geojson,fiji,Fiji,Country
finland.geojson,finland,Finland,Country
france.geojson,france,France,Country
frenchsouthernandantarcticlands.geojson,frenchsouthernandantarcticlands,French Southern and Antarctic Lands,Country
gabon.geojson,gabon,Gabon,Country
gambia.geojson,gambia,Gambia,Country
georgia.geojson,georgia,Georgia,Country
germany.geojson,germany,Germany,Country
ghana.geojson,ghana,Ghana,Country
greece.geojson,greece,Greece,Country
greenland.geojson,greenland,Greenland,Country
guatemala.geojson,guatemala,Guatemala,Country
guinea.geojson,guinea,Guinea,Country
guinea-bissau.geojson,guinea-bissau,Guinea-Bissau,Country
guyana.geojson,guyana,Guyana,Country
haiti.geojson,haiti,Haiti,Country
honduras.geojson,honduras,Honduras,Country
hungary.geojson,hungary,Hungary,Country
iceland.geojson,iceland,Iceland,Country
india.geojson,india,India,Country
indonesia.geojson,indonesia,Indonesia,Country
iran.geojson,iran,Iran,Country
iraq.geojson,iraq,Iraq,Country
