Region,Pooled_Slope,risk,risk_color
AK,2.467199342318042,HIGH,red
AL,1.5131289873550138,LOW,green
AR,1.260398006308132,LOW,green
AZ,1.8593601843900907,HIGH,red
CA,1.7262239429476527,HIGH,red
CO,2.086178968561344,HIGH,red
CT,1.6247124791608927,MEDIUM,orange
DE,1.611445114307669,MEDIUM,orange
FL,1.3142477167749067,LOW,green
GA,1.5882229839908184,MEDIUM,orange
HI,0.8011358138644401,LOW,green
IA,1.5703548577102435,MEDIUM,orange
ID,1.6138451682572186,MEDIUM,orange
IL,1.5228961595050199,LOW,green
IN,1.6022194366110352,MEDIUM,orange
KS,1.684578736215854,HIGH,red
KY,1.463614261641066,LOW,green
LA,1.4021801099610307,LOW,green
MA,1.7373761214839665,HIGH,red
MD,1.6900173277432702,HIGH,red
ME,1.691695177404042,HIGH,red
MI,1.5174083789707469,LOW,green
MN,1.4265811377252937,LOW,green
MO,1.56859796292784,MEDIUM,orange
MS,1.3602557386369318,LOW,green
MT,0.933039653262088,LOW,green
NC,1.496696413291598,LOW,green
ND,1.076595245621611,LOW,green
NE,1.5393753327237478,LOW,green
NH,1.7941002642235342,HIGH,red
NJ,1.7063527346575418,HIGH,red
NM,2.097039434428469,HIGH,red
NV,1.9064642028689598,HIGH,red
NY,1.7302128710140883,HIGH,red
OH,1.6091137757677858,MEDIUM,orange
OK,1.6081903984809784,MEDIUM,orange
OR,1.8006983795068292,HIGH,red
PA,1.8611109951103073,HIGH,red
RI,1.6099009223111447,MEDIUM,orange
SC,1.640615954359921,MEDIUM,orange
SD,1.1882531222628112,LOW,green
TN,1.6106326603551568,MEDIUM,orange
TX,1.5771207775742375,MEDIUM,orange
UT,2.2362782834679003,HIGH,red
VA,1.6358573275834198,MEDIUM,orange
VT,1.8848913376336183,HIGH,red
WA,1.6508821455806924,MEDIUM,orange
WI,1.3145804157570866,LOW,green
WV,1.5443037565199305,MEDIUM,orange
WY,1.2776898417409066,LOW,green
