State,Common name
Alabama,Camellia
Alaska,Forget-me-not
American Samoa,Paogo
Arizona,Saguaro cactus blossom
Arkansas,Apple blossom
California,California poppy
Colorado,Colorado blue columbine
Connecticut,Mountain laurel
Delaware,Peach blossom
District of Columbia,American Beauty Rose
Florida,Orange blossom
Georgia,Cherokee rose
Guam,Bougainvillea spectabilis
Hawaii,Hawaiian hibiscus
Idaho,Syringa
Illinois,Violet
Indiana,Peony
Iowa,Wild rose
Kansas,Sunflower
Kentucky,Goldenrod
Louisiana,Magnolia
Maine,White pine cone and tassel
Maryland,Black-eyed susan
Massachusetts,Mayflower
Michigan,Apple blossom
Minnesota,Pink and white lady's slipper
Mississippi,Magnolia
Missouri,Hawthorn
Montana,Bitterroot
Nebraska,Goldenrod
Nevada,Sagebrush
New Hampshire,Purple lilac
New Jersey,Violet
New Mexico,Yucca flower
New York,Rose
North Carolina,Flowering dogwood
North Dakota,Wild prairie rose
Northern Mariana Islands,Flores mayo
Ohio,Scarlet carnation
Oklahoma,Oklahoma rose
Oregon,Oregon grape
Pennsylvania,Mountain laurel
Puerto Rico,Flor de Maga
Rhode Island,Violet
South Carolina,Yellow jessamine
South Dakota,Pasque flower
Tennessee,Iris
Texas,Bluebonnet
Utah,Sego lily
Vermont,Red clover
Virgin Islands,Yellow Elder
Virginia,American dogwood
Washington,Coast rhododendron
West Virginia,Rhododendron
Wisconsin,Wood violet
Wyoming,Indian paintbrush
